Data,F109,F112,F114,F116,F129,F132,F137,F138,F141,CF92,CF93,CF94,CF95,CF97,CF98,CF100,CF101,CF104,CF108
,WT0,WT0,WT0,WT0,WT0,WT0,WT0,WT0,WT0,WT1000,WT1000,WT1000,WT1000,WT1000,WT1000,WT1000,WT1000,WT1000,WT1000
96,0.870554369,1.042367582,0.8224963,1.513579576,1.697142368,1.787578975,2.070524583,2.378086769,0.333484586,2.030844041,0.911308578,1.943811585,1.162855224,1.770535628,0.375179715,1.521831721,0.878945789,3.970943922,0.63738246
97,0.480404714,1.42014397,0.626761876,0.597657553,2.172527083,3.340489337,0.729888589,1.091640606,3.110557526,3.662418818,0.836480769,0.598631552,1.105859909,0.694502794,0.559163241,0.866450224,1.165672784,2.794147467,0.411910144
98,1.191878552,0.884680944,0.900486308,0.720557135,0.613624805,0.701221194,0.748104435,0.594693272,0.877763979,0.811691027,0.635212384,0.662651347,0.682241684,0.476236662,1.241336287,0.80111224,0.956405556,0.976590477,0.769613734
99,0.833084037,0.981578557,0.600896572,1.226935884,0.771098253,1.240395891,0.72750789,1.087725583,0.151273927,1.273072003,1.034594764,1.294785761,1.130421617,1.015660096,0.660509416,0.551314002,1.089164889,0.811318716,0.899807321
100,0.894928034,0.940891991,0.836227954,0.978752347,0.934088844,0.891119071,0.925781609,1.08804946,0.982894567,1.115643417,0.887339124,0.887839848,1.029813476,0.854838118,0.865348673,0.981605574,0.814707933,0.914956017,0.782749276
101,0.993452095,0.876467911,0.741708354,0.815290544,0.973959678,0.855709424,0.866616389,0.990749694,0.777058084,1.213428702,0.849140384,1.123430254,0.946583888,0.906766567,0.763036118,0.847864358,0.963972489,0.791052052,0.73066289
102,0.899280007,0.856537572,1.429800404,1.128090137,0.818741146,1.364994124,1.038496928,0.737731344,0.817152587,0.681663792,0.973397428,1.310474184,0.845476909,1.246820208,1.160817485,1.027447731,1.245172485,0.951024526,0.561614148
103,0.963310703,0.626585181,0.700508534,0.956572894,0.522073284,1.05876007,1.256228836,1.080409595,0.752522921,1.012656295,1.10501188,0.879650483,1.842325653,0.841828607,0.832949863,1.071671992,1.140968179,0.830216293,0.9939965
104,1.188239384,0.711203169,0.945073198,0.785371275,1.082190952,0.920754272,0.868766762,0.808775933,0.820008564,0.833842269,0.728984664,0.83026741,0.845733014,0.734351136,1.018894321,0.977097813,1.012390693,0.845439537,0.847435217
105,0.944749779,0.939976867,0.722381951,0.858142635,0.93364882,0.821730804,0.881592028,0.951715601,0.850994609,1.124699318,0.828019419,1.049910601,0.939218653,0.85838608,0.8458644,0.874679466,1.004678647,0.746943122,0.824651128
106,1.062916972,0.882489352,0.801528472,0.895663346,0.888422979,0.870929924,0.912859022,1.032538123,1.004123803,1.248672015,0.768863078,0.945323408,0.912991689,0.859364558,0.749775349,1.000940377,0.929686845,0.724570358,0.856409324
107,0.918566544,1.134831826,1.169396943,1.073204601,0.820759198,1.068320676,0.905122906,1.185185303,0.854900636,0.975494079,0.912305957,1.467332042,1.098615831,1.268250861,0.907374635,1.097858271,1.251265326,0.728292773,0.907093152
108,0.814292835,0.801517821,0.888479927,0.887563771,1.010796135,1.083120972,0.91259334,1.06477046,0.62278776,1.66937082,0.89044579,1.38629263,0.956124262,0.883985939,0.823259651,0.934679413,1.074770398,1.372847009,0.82807127
109,0.946800165,1.228457107,2.181675704,1.372164467,0.607619047,0.716131702,1.741348689,1.204448758,1.134774052,1.356823983,1.148385821,1.825982392,1.119791485,1.081069793,1.437758613,1.423761428,0.890916303,1.453755185,0.811882922
110,0.952137223,1.017474906,0.769536994,0.9791938,0.631248708,0.758898568,1.083014077,1.063320959,1.138621475,1.432341591,0.947862628,1.32601506,0.962357431,0.83540445,0.859047847,1.026793542,1.099260112,1.30554103,0.931489319
111,0.529310336,0.765975746,0.983817095,1.074887539,0.832654561,1.004107463,1.072704091,1.072351328,0.987786886,1.46864878,0.941797702,1.293340626,0.928224866,0.843175565,0.667147425,0.857436846,0.795975346,1.175543772,0.96885268
112,1.497020386,0.903458295,1.569449042,1.233068758,1.528419561,0.415508764,1.633108643,1.593176155,1.190192918,0.95398651,0.997278556,0.435835313,0.504672506,1.379911696,1.805166805,2.157500465,0.922069554,1.254204538,0.952271466
113,0.741316176,1.130429074,0.582638771,1.943118681,0.747119899,2.046020462,0.870242151,1.282456825,0.099238397,2.162610888,1.858845059,1.89631975,1.430006418,1.561141276,0.600269279,0.451752974,1.371964192,0.776856086,1.307921369
114,0.144046567,4.300096997,0.16634599,0.132401333,0.12198888,2.812895912,0.301235454,0.336495977,0.556558855,0.537369632,0.290974045,0.454881108,0.256466665,0.634744944,0.204404982,0.190743804,0.071759486,3.824598229,0.227765071
115,0.865731525,1.126759229,0.814231831,1.387102207,0.768090703,0.997913092,0.976582852,1.029056726,1.242037498,1.134938123,1.163788104,0.895631063,1.135002594,0.999768358,0.916046279,1.024355243,0.912331042,0.91554278,1.097649072
